Date,EURO
11/17/1999,0.9604
11/18/1999,0.9711
11/19/1999,0.9702
11/22/1999,0.9691
11/23/1999,0.9726
11/24/1999,0.9815
11/25/1999,0.9814
11/26/1999,0.9836
11/29/1999,0.9905
11/30/1999,0.991
12/1/1999,0.9921
12/2/1999,0.999
12/3/1999,0.9976
12/6/1999,0.9773
12/7/1999,0.9752
12/8/1999,0.9733
12/9/1999,0.9795
12/10/1999,0.9873
12/13/1999,0.9868
12/14/1999,0.9941
12/15/1999,0.9928
12/16/1999,0.9843
12/17/1999,0.9919
12/20/1999,0.9869
12/21/1999,0.9905
12/22/1999,0.9903
12/23/1999,0.9841
12/24/1999,0.9871
12/27/1999,0.9874
12/28/1999,0.993
12/29/1999,0.9953
12/30/1999,0.9919
12/31/1999,0.9926
1/3/2000,0.9743
1/4/2000,0.97
1/5/2000,0.9693
1/6/2000,0.9688
1/7/2000,0.9717
1/10/2000,0.9753
1/11/2000,0.9675
1/12/2000,0.9698
1/13/2000,0.9751
1/14/2000,0.9874
1/17/2000,0.9881
1/18/2000,0.9872
1/19/2000,0.9879
1/20/2000,0.9829
1/21/2000,0.9909
1/24/2000,0.9924
1/25/2000,0.9993
1/26/2000,0.9992
1/27/2000,1.0116
1/28/2000,1.0259
1/31/2000,1.0313
2/1/2000,1.0282
2/2/2000,1.0242
2/3/2000,1.0095
2/4/2000,1.017
2/7/2000,1.0194
2/8/2000,1.0145
2/9/2000,1.006
2/10/2000,1.015
2/11/2000,1.0133
2/14/2000,1.0219
2/15/2000,1.019
2/16/2000,1.0135
2/17/2000,1.0122
2/18/2000,1.0137
2/21/2000,1.0128
2/22/2000,0.9961
2/23/2000,0.9965
2/24/2000,1.0067
2/25/2000,1.0266
2/28/2000,1.0284
2/29/2000,1.0367
3/1/2000,1.027
3/2/2000,1.0368
3/3/2000,1.0415
3/6/2000,1.0426
3/7/2000,1.0423
3/8/2000,1.0408
3/9/2000,1.0349
3/10/2000,1.0383
3/13/2000,1.0366
3/14/2000,1.0328
3/15/2000,1.0335
3/16/2000,1.0293
3/17/2000,1.0284
3/20/2000,1.0274
3/21/2000,1.0373
3/22/2000,1.0402
3/23/2000,1.0289
3/24/2000,1.0232
3/27/2000,1.0345
3/28/2000,1.041
3/29/2000,1.0509
3/30/2000,1.0406
3/31/2000,1.0459
4/3/2000,1.0471
